Country,Area,Order,aOrder,aColor,Population,Maths Score,Reading Score,Science Score,Play Chess,Quiet Place to Study,Internet at Home,Computer at Home,Books,Car,Computer Programming,Problems,Homework Hours,Latitude,Longitude,Abs Latitude
Jordan,Middle East & Africa,New Zealand,Oceania,4,7.5,386,399,409,56.83,80.83,62.58,80.71,16.63,73.60,68.63,48.95,4.22,30.585164,36.238414,30.585164
Hong Kong-China,Asia,Norway,Europe,3,7.2,561,545,555,52.04,81.76,99.13,98.60,25.14,21.79,20.37,34.53,6.02,22.396428,114.109497,22.396428
Serbia,Europe,Peru,America,1,7,449,446,445,46.25,93.31,87.74,93.69,22.33,78.97,57.83,33.22,4.42,44.0165,21.0059,44.0165
Bulgaria,Europe,Poland,Europe,1,7,439,436,446,52.68,67.46,91.01,90.90,27.98,80.71,50.86,33.00,5.64,42.733883,2.548583,42.733883
Denmark,Europe,Portugal,Europe,1,6,500,496,498,17.58,89.78,99.24,98.73,37.26,92.68,16.81,34.92,4.29,56.26392,9.501785,56.26392
Singapore,Asia,Qatar,Middle East & Africa,3,5.4,573,542,551,38.76,78.66,96.96,94.70,31.79,59.60,36.28,42.45,9.39,1.3521,103.8198,1.3521
Slovak Republic,Europe,Romania,Europe,1,5.4,482,463,471,44.43,85.68,91.74,90.86,28.59,80.79,47.05,31.06,3.23,48.669026,19.699024,48.669026
Finland,Europe,Russian Federation,Europe,1,5,519,524,545,32.78,94.37,99.07,98.20,42.19,94.27,48.49,16.58,2.78,61.92411,25.748151,61.92411
Norway,Europe,Serbia,Europe,1,5,489,504,495,24.83,93.44,98.52,97.77,47.97,95.66,25.88,33.57,4.74,60.472024,8.468946,60.472024
Costa Rica,America,Shanghai-China,Asia,2,4.7,407,441,429,34.58,80.29,64.22,71.46,9.28,52.93,26.64,33.57,3.52,9.748917,-83.753428,9.748917
Ireland,Europe,Singapore,Asia,1,4.6,501,523,522,27.36,87.50,97.20,94.15,41.02,94.88,31.87,39.09,7.31,53.41291,-0.824389,53.41291
New Zealand,Oceania,Slovak Republic,Europe,5,4.6,500,512,516,31.49,85.00,91.43,92.50,44.17,96.67,28.75,44.48,4.20,-40.900557,174.885971,40.900557
