Country,Area,aColor,Population,Maths Score,Reading Score,Science Score,Play Chess,Quiet Place to Study,Internet at Home,Computer at Home,Books,Car,Computer Programming,Problems,Homework Hours
Australia,Oceania,5,24,504,512,521,31.32,87.26,96.15,96.89,46.33,97.55,26.39,40.78,6.04
Austria,Europe,1,9,506,490,506,36.21,96.05,98.38,97.83,38.76,94.42,31.28,39.04,4.52
Belgium,Europe,1,11,515,509,505,27.02,92.08,97.23,95.81,36.28,93.50,28.56,33.43,5.46
Canada,America,2,36,518,523,525,38.71,90.96,97.03,96.45,42.64,95.00,32.74,37.64,5.48
Chile,America,2,18,423,441,445,34.54,80.84,75.68,85.26,15.67,57.40,43.36,48.78,3.48
Czech Republic,Europe,1,10,499,493,508,37.34,92.28,96.68,96.68,40.12,88.19,53.69,32.24,3.14
Denmark,Europe,1,6,500,496,498,17.58,89.78,99.24,98.73,37.26,92.68,16.81,34.92,4.29
Estonia,Europe,1,1,521,516,541,38.51,92.58,98.59,89.19,44.76,83.94,30.78,28.40,6.93
Finland,Europe,1,5,519,524,545,32.78,94.37,99.07,98.20,42.19,94.27,48.49,16.58,2.78
France,Europe,1,67,495,505,499,29.84,94.23,97.64,96.29,36.19,93.32,35.42,28.54,5.06
Germany,Europe,1,81,514,508,524,34.09,93.33,96.00,95.66,46.88,92.04,31.78,36.83,4.67
Greece,Europe,1,10,453,477,467,46.10,83.82,86.81,91.03,35.44,93.81,57.98,39.57,5.26
Hungary,Europe,1,10,477,488,494,38.29,90.95,92.93,93.23,48.83,75.09,45.92,29.59,6.22
Iceland,Europe,1,0.3,493,483,478,29.43,95.19,98.76,98.18,54.48,94.43,29.93,27.53,4.08
Ireland,Europe,1,4.6,501,523,522,27.36,87.50,97.20,94.15,41.02,94.88,31.87,39.09,7.31
Israel,Middle East & Africa,4,8.4,466,486,470,31.54,91.79,89.25,92.57,42.38,87.64,38.01,40.04,4.61
Italy,Europe,1,60,485,490,494,36.13,91.64,96.51,96.28,37.27,96.94,44.03,35.68,8.73
Japan,Asia,3,126,536,538,547,31.30,87.10,88.40,69.99,42.36,93.74,19.45,33.37,3.84
South Korea,Asia,3,51,554,536,538,31.84,80.39,96.23,93.63,60.11,88.34,30.96,34.25,2.87
